event_type,latitude,longitude,event_cause,requires_road_closure,veh_type,corridor,priority,police_station,hour,day_of_week,month
1,13.0400041,77.5180991,14,0,4,19,1,39,17,4,3
1,12.9218755,77.6451585,14,0,2,12,1,15,4,5,1
1,12.955622,77.5857083,6,0,5,11,0,51,6,2,11
1,13.0061469,77.5794348,13,1,5,11,0,43,17,4,3
1,12.95398,77.5852333,14,0,6,11,0,51,4,5,1
1,13.0664854,77.5998755,2,0,5,11,0,18,3,5,11
1,12.9328703,77.4879814,14,0,1,11,0,31,7,5,1
1,12.973175,77.6003961,6,0,5,11,0,11,6,5,1
0,12.97883573,77.59953728,10,0,5,5,1,11,2,1,2
1,13.0373543,77.6540442,14,0,4,11,0,19,5,5,1
1,13.0008457,77.6813712,16,0,5,13,1,28,18,4,3
1,12.94457,77.5274017,14,0,7,16,1,6,5,5,1
1,12.9995223,77.6827499,16,0,5,13,1,35,18,4,3
1,13.0418933,77.594705,6,0,5,14,1,18,19,5,12
1,12.975285,77.6256902,7,0,5,18,1,16,19,4,3
1,13.0633917,77.5933483,6,0,5,3,1,32,19,4,3
1,13.063425,77.5933,6,0,5,3,1,32,19,4,3
1,13.0254527,77.6417388,6,0,5,14,1,19,19,4,3
1,12.9233517,77.5904883,13,0,5,11,0,24,19,4,3
1,13.0001393,77.5840594,14,0,3,2,1,43,4,5,1
1,12.9071221,77.6286395,14,0,2,7,1,33,19,4,3
1,12.927375,77.5806883,13,1,5,11,0,24,19,4,3
1,12.9169074,77.5950955,7,0,5,11,0,24,22,0,1
1,12.9667047,77.6615983,7,0,5,11,0,25,8,5,1
1,12.8966387,77.7202071,16,0,5,11,0,50,19,4,3
1,12.9463911,77.597326,13,1,5,11,0,51,6,4,3
1,12.9856042,77.5977438,7,0,5,11,1,45,8,5,1
1,12.9077383,77.6005709,14,0,1,1,1,37,8,5,1
1,12.9635109,77.6642122,7,0,5,11,0,14,8,5,1
1,12.9667073,77.6615616,7,0,5,11,0,25,8,5,1
1,12.9666867,77.6616478,7,0,5,11,0,25,8,5,1
1,12.907814,77.6006561,14,1,1,1,1,37,8,5,1
1,12.8955737,77.5993711,14,0,4,1,1,22,5,5,1
1,12.92757,77.5832051,13,0,5,11,0,24,20,4,3
1,13.044697,77.5828546,3,0,5,15,1,32,5,5,1
1,12.9666885,77.6616396,7,0,5,11,0,25,8,5,1
1,12.9789228,77.5644032,14,0,1,9,1,34,20,4,3
